譜面	谱面
精度	精度
課題曲	课题曲
達成率	达成率
オールパーフェクト	AP
譜面	谱面
精度	精度
判定	判定
課題曲	课题曲
自選曲	自选曲
選曲	选曲
達成率	达成率
スコア	分数
リザルト	结算画面
トーナメント	淘汰赛/对阵表
準々決勝	八强赛
準決勝	半决赛
決勝	决赛
全国決勝	全国决赛
一回戦敗退	一轮游
MISS	MISS
HIT	HIT
CRITICAL BREAK	CRITICAL BREAK
PLATINUM BREAK	PLATINUM BREAK
FAST	FAST
LATE	LATE
maimai	maimai
maimai でらっくす	maimai DX
でらっくす	DX
DX	DX
DXスコア	DX分
でらっくスコア	DX分
オールパーフェクト	AP
オールパーフェクト+	AP+
フルコンボ	全连
AP	AP
FC	FC
MASTER	MASTER
Re:MASTER	Re:MASTER
WORLD'S END	WORLD'S END
スタンダード	标准谱面
でらっくす譜面	DX谱面
タッチ	touch
オンゲキ	オンゲキ
バトルスコア	战斗分
テクニカルスコア	技术分
プラチナスコア	白金分
TECHNICAL SCORE	TECHNICAL SCORE
CHUNITHM	CHUNITHM
チュウニズム	CHUNITHM
JUSTICE CRITICAL	JUSTICE CRITICAL
JUSTICE	JUSTICE
ATTACK	ATTACK
AIR	AIR
AIR HOLD	AIR HOLD
AIR SLIDE	AIR SLIDE
HOLD	HOLD
SLIDE	SLIDE
ULTIMA	ULTIMA
実況	实况解说
解説	解说
MC	主持
選手	选手
湯毛	湯毛
河野海樹	河野海樹
からめる	からめる
Godspeed	Godspeed
Jack	Jack
Revo@LC	Revo@LC
Meteian	Meteian
コハD	口哈弟
光吉猛修	光吉猛修
はっぴー	哈皮
チュウニペンギン	チュウニペンギン
maimai	maimai
maimai でらっくす	舞萌DX
でらっくす	DX
オンゲキ	音击
CHUNITHM	中二节奏
チュウニズム	中二
ＲｅＭｉＲｉＡ	ReMiRia
つきほ	手汗
顔文字禁止され太郎	手汗
のん	non
たけるん	takerun
クラウド＊ＲＪ	クラウド＊ＲＪ
ロイヤルブレッド	Royal Blade
たかこう	たかこう
よしき	Yoshiki
サイゴノキボウ	サイゴノキボウ
誰だよ	誰だよ
ちいさなまほうつかい	ちいさなまほうつかい
【自称】世界一maimaiが好き	【自称】世界一maimaiが好き
限界を超える	限界を超える
自認消費期限切れ	自認消費期限切れ
Step up your "Game"	Step up your "Game"
絶対王者	絶対王者
もちゃのすけ	もちゃのすけ
ｈａｓｕ＋	ｈａｓｕ＋
ＳＫＧ	ＳＫＧ
ぴんりこ	ぴんりこ
れすてぃー	れすてぃー
みすてぃーば	みすてぃーば
ちはる	ちはる
Ｑｕｉｌｔｉｋａ	Ｑｕｉｌｔｉｋａ
みるくちゃん無双	みるくちゃん無双
インペリアルマンモス	インペリアルマンモス
えっ！？あなた、誰ですか...？	えっ！？あなた、誰ですか...？
今月は木の実で生活	今月は木の実で生活
セレスティアレイド・ギャラクシィ	セレスティアレイド・ギャラクシィ
がんばリダイブ	がんばリダイブ
革命	革命
All Quiltika'l break!!	All Quiltika'l break!!
ｓｔｒ	ｓｔｒ
ＪＴ	ＪＴ
Ｙ．Ｙ．	Ｙ．Ｙ．
ＨＰＳ	ＨＰＳ
あべゆー	あべゆー
ＨＡＫＵ	ＨＡＫＵ
ぱ〜ぷる	ぱ〜ぷる
ネタ切れ	ネタ切れ
just tired	just tired
不屈の挑戦者	不屈の挑戦者
Play Hard and Surpass.	Play Hard and Surpass.
名勝負メーカー	名勝負メーカー
猫大好き	猫大好き
運だけの	運だけの
押せない配置は擦って解決！	押せない配置は擦って解決！
Ｔｅｔｒａ＿ＳＲ	Ｔｅｔｒａ＿ＳＲ
Ｍｉｎｊｉｎ	Ｍｉｎｊｉｎ
ＩＮＦ．	ＩＮＦ．
ＪＡＫＡＤＳ	ＪＡＫＡＤＳ
何の意味	何意味
FANTASTIC CLEAR!!	FANTASTIC CLEAR!!
Yes I am.	Yes I am.
【WORLD'S END 狂☆☆☆☆☆】	【WORLD'S END 狂☆☆☆☆☆】
AMAZING MIGHTYYYY!!!!	AMAZING MIGHTYYYY!!!!
Apollo	Apollo
ATLAS RUSH	ATLAS RUSH
Cryptarithm	Cryptarithm
Customized Justice	Customized Justice
Divide et impera!	Divide et impera!
Excalibur ～Revived resolution～	Excalibur ～Revived resolution～
False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or Buried Beneath the Shifting Sands That Lead Everywhere but Nowhere)	False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or Buried Beneath the Shifting Sands That Lead Everywhere but Nowhere)
FLΛME/FRΦST	FLΛME/FRΦST
GIGANTØMAKHIA	GIGANTØMAKHIA
Glorious Crown	Glorious Crown
Heavenly Blast	Heavenly Blast
KHYMΞXΛ	KHYMΞXΛ
LAMIA	LAMIA
larva	larva
Latent Kingdom	Latent Kingdom
Lia=Fail	Lia=Fail
Metamorphosism	Metamorphosism
Our Wrenally	Our Wrenally
PANDORA PARADOXXX	PANDORA PARADOXXX
QZKago Requiem	QZKago Requiem
raputa	raputa
Regulus	Regulus
ℝ∈Χ LUNATiCA	ℝ∈Χ LUNATiCA
SILENT BLUE	SILENT BLUE
sølips	sølips
Straight into the lights	Straight into the lights
TEmPTaTiON	TEmPTaTiON
the EmpErroR	the EmpErroR
Valsqotch	Valsqotch
VeRForTe αRtE:VEiN	VeRForTe αRtE:VEiN
VERTeX	VERTeX
VIIIbit Explorer	VIIIbit Explorer
WiPE OUT MEMORIES	WiPE OUT MEMORIES
World's end BLACKBOX	World's end BLACKBOX
World's end loneliness	World's end loneliness
チューリングの跡	チューリングの跡
怒槌	怒槌
雨露霜雪	雨露霜雪
宙天	宙天
康莊大道	康莊大道
氷滅の135小節	氷滅の135小節
封焔の135秒	封焔の135秒
躯樹の墓守	躯樹の墓守
系ぎて	系ぎて
Alea jacta est!	Alea jacta est!
Garakuta Doll Play	Garakuta Doll Play
Schwarzschild	Schwarzschild
ガラテアの螺旋	ガラテアの螺旋
