# ===== Event / Common =====
KOP7th
KING of Performai
Performai	ぱふぉーまい
The 7th
全国決勝	ぜんこくけっしょう
決勝	けっしょう
準決勝	じゅんけっしょう
準々決勝	じゅんじゅんけっしょう
LCQ	えるしーきゅー
課題曲	かだいきょく
自選曲	じせんきょく
選曲	せんきょく
譜面	ふめん
達成率	たっせいりつ
スコア	すこあ
実況	じっきょう
解説	かいせつ
MC	えむしー
MASTER	ますたー
Re:MASTER	り:ますたー
ULTIMA	うるてぃま
WORLD'S END	わーるずえんど
DX	でらっくす
DXスコア	でらっくすこあ,でらすこ
でらっくスコア	でらっくすこあ
TECHNICAL SCORE	てくにかるすこあ
JUSTICE CRITICAL	じゃすてぃすくりてぃかる
JUSTICE	じゃすてぃす
ATTACK	あたっく
MISS	みす
BREAK	ぶれいく
GREAT	グレ
GOOD	ぐっど
HIT	ひっと
PLATINUM BREAK	ぷらちなむぶれいく
FAST	ふぁすと
LATE	れいと
SSS	とりぷるえ,とりぷるえす
TRACK	とらっく
湯毛	ゆげ
河野海樹	こうのうみき
からめる	からめる
Godspeed	ごっどすぴーど
Jack	じゃっく
Revo@LC	れぼあっとえるしー
Meteian	めてぃあん
コハD	こはでぃー
光吉猛修	みつよしたけしゅう
はっぴー	はっぴー
チュウニペンギン	ちゅうにぺんぎん
maimai	まいまい
maimai でらっくす	まいまい でらっくす
でらっくす	でらっくす
オンゲキ	おんげき
CHUNITHM	ちゅーにずむ
チュウニズム	ちゅーにずむ
ＲｅＭｉＲｉＡ	れみりあ
つきほ	つきほ
顔文字禁止され太郎	かおもじきんしされたろう
のん	のん
たけるん	たけるん
ロイヤルブレッド	ろいやるぶれっど
たかこう	たかこう
よしき	よしき
サイゴノキボウ	さいごのきぼう
誰だよ	だれだよ
ちいさなまほうつかい	ちいさなまほうつかい
【自称】世界一maimaiが好き	じしょうせかいいちまいまいがすき
限界を超える	げんかいをこえる
自認消費期限切れ	じにんしょうひきげんぎれ
Step up your "Game"	すてっぷあっぷゆあげーむ
絶対王者	ぜったいおうじゃ
もちゃのすけ	もちゃのすけ
ｈａｓｕ＋	はすぷらす
ＳＫＧ	えすけーじー
ぴんりこ	ぴんりこ
れすてぃー	れすてぃー
みすてぃーば	みすてぃーば
ちはる	ちはる
